stall_ms,period_ms,verdict,tx_events,max_gap_ms,median_gap_ms,p90_gap_ms,capture,transcript,verdict_v2,monotone_prefix_max_ms,it_count,poll_count,verdict_v2,monotone_prefix_max_ms,it_count,poll_count
1,125,FAIL_STUCK,57,2250,900,1500,s1_p125_yield.log,s1_p125_yield.txt,FAIL_STUCK,2100,0,57,FAIL_STUCK,2100,0,57
1,145,FAIL_STUCK,53,2550,976,1500,s1_p145_yield.log,s1_p145_yield.txt,FAIL_STUCK,1200,0,53,FAIL_STUCK,1200,0,53
1,150,FAIL_STUCK,57,2400,902,1500,s1_p150_yield.log,s1_p150_yield.txt,FAIL_STUCK,900,0,57,FAIL_STUCK,900,0,57
1,155,FAIL_STUCK,61,1650,900,1353,s1_p155_yield.log,s1_p155_yield.txt,FAIL_STUCK,1050,0,61,FAIL_STUCK,1050,0,61
1,200,FAIL_STUCK,57,1650,900,1353,s1_p200_yield.log,s1_p200_yield.txt,FAIL_STUCK,1350,0,57,FAIL_STUCK,1350,0,57
1,233,FAIL_STUCK,61,2250,900,1500,s1_p233_yield.log,s1_p233_yield.txt,FAIL_STUCK,900,0,61,FAIL_STUCK,900,0,61
1,250,FAIL_STUCK,56,2850,900,1650,s1_p250_yield.log,s1_p250_yield.txt,FAIL_STUCK,900,0,56,FAIL_STUCK,900,0,56
1,373,FAIL_STUCK,62,1953,900,1353,s1_p373_yield.log,s1_p373_yield.txt,FAIL_STUCK,1500,0,62,FAIL_STUCK,1500,0,62
1,500,FAIL_STUCK,60,2550,900,1650,s1_p500_yield.log,s1_p500_yield.txt,FAIL_STUCK,1045,0,60,FAIL_STUCK,1045,0,60
3,125,FAIL_STUCK,57,2100,900,1500,s3_p125_yield.log,s3_p125_yield.txt,FAIL_STUCK,900,0,57,FAIL_STUCK,900,0,57
3,145,FAIL_STUCK,57,1950,900,1500,s3_p145_yield.log,s3_p145_yield.txt,FAIL_STUCK,755,0,57,FAIL_STUCK,755,0,57
3,150,FAIL_STUCK,54,1950,1050,1500,s3_p150_yield.log,s3_p150_yield.txt,FAIL_STUCK,1200,0,54,FAIL_STUCK,1200,0,54
3,155,FAIL_STUCK,59,1800,901,1353,s3_p155_yield.log,s3_p155_yield.txt,FAIL_STUCK,1500,0,59,FAIL_STUCK,1500,0,59
3,200,FAIL_STUCK,61,2251,900,1500,s3_p200_yield.log,s3_p200_yield.txt,FAIL_STUCK,1050,0,61,FAIL_STUCK,1050,0,61
3,233,FAIL_STUCK,58,2100,900,1500,s3_p233_yield.log,s3_p233_yield.txt,FAIL_STUCK,1200,0,58,FAIL_STUCK,1200,0,58
3,250,FAIL_STUCK,63,1800,900,1350,s3_p250_yield.log,s3_p250_yield.txt,FAIL_STUCK,1350,0,63,FAIL_STUCK,1350,0,63
3,373,FAIL_STUCK,55,2850,900,1650,s3_p373_yield.log,s3_p373_yield.txt,FAIL_STUCK,2850,0,55,FAIL_STUCK,2850,0,55
3,500,FAIL_STUCK,56,2253,900,1650,s3_p500_yield.log,s3_p500_yield.txt,FAIL_STUCK,1800,0,56,FAIL_STUCK,1800,0,56
5,125,FAIL_STUCK,51,2400,1050,1651,s5_p125_yield.log,s5_p125_yield.txt,FAIL_STUCK,1050,0,51,FAIL_STUCK,1050,0,51
5,145,FAIL_STUCK,48,3900,1200,1950,s5_p145_yield.log,s5_p145_yield.txt,FAIL_STUCK,1950,0,48,FAIL_STUCK,1950,0,48
5,150,FAIL_STUCK,54,3750,900,1650,s5_p150_yield.log,s5_p150_yield.txt,FAIL_STUCK,1500,0,54,FAIL_STUCK,1500,0,54
5,155,FAIL_STUCK,57,2100,900,1500,s5_p155_yield.log,s5_p155_yield.txt,FAIL_STUCK,1050,0,57,FAIL_STUCK,1050,0,57
5,200,FAIL_STUCK,54,2550,901,1501,s5_p200_yield.log,s5_p200_yield.txt,FAIL_STUCK,1951,0,54,FAIL_STUCK,1951,0,54
5,233,FAIL_STUCK,58,2703,900,1650,s5_p233_yield.log,s5_p233_yield.txt,FAIL_STUCK,1200,0,58,FAIL_STUCK,1200,0,58
5,250,FAIL_STUCK,52,2250,1050,1653,s5_p250_yield.log,s5_p250_yield.txt,FAIL_STUCK,1653,0,52,FAIL_STUCK,1653,0,52
5,373,FAIL_STUCK,59,2704,900,1500,s5_p373_yield.log,s5_p373_yield.txt,FAIL_STUCK,2402,0,59,FAIL_STUCK,2402,0,59
5,500,FAIL_STUCK,53,2403,976,1802,s5_p500_yield.log,s5_p500_yield.txt,FAIL_STUCK,2253,0,53,FAIL_STUCK,2253,0,53
7,125,FAIL_STUCK,45,3453,901,2253,s7_p125_yield.log,s7_p125_yield.txt,FAIL_STUCK,1800,0,45,FAIL_STUCK,1800,0,45
