PKT t=7206 TX ua=96 mt=I len=13
PKT t=7714 TX ua=96 mt=T len=4
PKT t=7725 TX ua=95 mt=P len=0
PKT t=7751 RX ua=95 mt=R len=7
PKT t=8008 TX ua=96 mt=P len=0
PKT t=8266 TX ua=95 mt=P len=0
PKT t=8275 RX ua=95 mt=R len=7
PKT t=8280 TX ua=95 mt=T len=7
PKT t=8292 TX ua=95 mt=P len=0
PKT t=8301 RX ua=95 mt=R len=7
PKT t=8306 TX ua=95 mt=P len=0
PKT t=8315 RX ua=95 mt=R len=7
PKT t=8320 TX ua=95 mt=P len=0
PKT t=8329 RX ua=95 mt=R len=7
PKT t=8334 TX ua=95 mt=P len=0
PKT t=8343 RX ua=95 mt=R len=7
PKT t=8348 TX ua=95 mt=P len=0
PKT t=8391 RX ua=95 mt=R len=7
PKT t=8396 TX ua=95 mt=P len=0
PKT t=8405 RX ua=95 mt=R len=7
PKT t=8410 TX ua=95 mt=P len=0
PKT t=8419 RX ua=95 mt=R len=7
PKT t=8424 TX ua=95 mt=T len=7
PKT t=8436 TX ua=95 mt=P len=0
PKT t=8445 RX ua=95 mt=R len=7
PKT t=8450 TX ua=95 mt=P len=0
PKT t=8480 RX ua=95 mt=R len=7
PKT t=8485 TX ua=95 mt=P len=0
PKT t=8494 RX ua=95 mt=R len=7
PKT t=8499 TX ua=95 mt=P len=0
PKT t=8508 RX ua=95 mt=R len=7
PKT t=8513 TX ua=95 mt=P len=0
PKT t=8522 RX ua=95 mt=R len=7
PKT t=8527 TX ua=95 mt=P len=0
PKT t=8552 RX ua=95 mt=R len=7
PKT t=8807 TX ua=96 mt=P len=0
PKT t=9065 TX ua=95 mt=P len=0
PKT t=9074 RX ua=95 mt=R len=7
PKT t=9079 TX ua=95 mt=T len=7
PKT t=9091 TX ua=95 mt=P len=0
PKT t=9100 RX ua=95 mt=R len=7
PKT t=9105 TX ua=95 mt=P len=0
PKT t=9114 RX ua=95 mt=R len=7
PKT t=9119 TX ua=95 mt=T len=7
PKT t=9131 TX ua=95 mt=P len=0
PKT t=9140 RX ua=95 mt=R len=7
PKT t=9145 TX ua=95 mt=P len=0
PKT t=9154 RX ua=95 mt=R len=7
PKT t=9159 TX ua=95 mt=P len=0
PKT t=9191 RX ua=95 mt=R len=7
PKT t=9196 TX ua=95 mt=T len=7
PKT t=9208 TX ua=95 mt=P len=0
PKT t=9217 RX ua=95 mt=R len=7
PKT t=9222 TX ua=95 mt=P len=0
PKT t=9231 RX ua=95 mt=R len=7
PKT t=9236 TX ua=95 mt=P len=0
PKT t=9245 RX ua=95 mt=R len=7
PKT t=9250 TX ua=95 mt=P len=0
PKT t=9260 RX ua=95 mt=R len=7
PKT t=9265 TX ua=95 mt=P len=0
PKT t=9294 RX ua=95 mt=R len=7
PKT t=9299 TX ua=95 mt=P len=0
PKT t=9308 RX ua=95 mt=R len=7
PKT t=9313 TX ua=95 mt=P len=0
PKT t=9322 RX ua=95 mt=R len=7
PKT t=9327 TX ua=95 mt=P len=0
PKT t=9352 RX ua=95 mt=R len=7
PKT t=9607 TX ua=96 mt=P len=0
PKT t=9865 TX ua=95 mt=P len=0
PKT t=9874 RX ua=95 mt=R len=7
PKT t=9879 TX ua=95 mt=T len=7
