# manifest: sha:616fe16d4db08b50d468526665a9380e25d74276eaad023fa7afbebc4e7c8cfd date:2026-08-22T08:23:15.729923
stall_ms,period_ms,verdict,tx_events,max_gap_ms,median_gap_ms,p90_gap_ms,capture,transcript,verdict_v2,monotone_prefix_max_ms,it_count,poll_count
1,125,PASS,8,16256,2267,8805,s1_p125_yield.log,s1_p125_yield.txt,PASS,16256,3,8
1,145,PASS,8,16281,2259,8798,s1_p145_yield.log,s1_p145_yield.txt,PASS,16281,3,8
1,150,PASS,8,16256,2265,8794,s1_p150_yield.log,s1_p150_yield.txt,PASS,16256,3,8
1,155,PASS,8,16266,2273,8803,s1_p155_yield.log,s1_p155_yield.txt,PASS,16266,3,8
1,200,PASS,8,16259,2258,8814,s1_p200_yield.log,s1_p200_yield.txt,PASS,16259,3,8
1,233,PASS,8,16272,2254,8816,s1_p233_yield.log,s1_p233_yield.txt,PASS,16272,3,8
1,250,PASS,8,16259,2256,8807,s1_p250_yield.log,s1_p250_yield.txt,PASS,16259,3,8
1,373,PASS,8,16256,2272,8804,s1_p373_yield.log,s1_p373_yield.txt,PASS,16256,3,8
1,500,PASS,9,16262,3261,13907,s1_p500_yield.log,s1_p500_yield.txt,PASS,16262,3,9
3,125,PASS,8,16263,2257,8812,s3_p125_yield.log,s3_p125_yield.txt,PASS,16263,3,8
3,145,PASS,9,16259,3268,13901,s3_p145_yield.log,s3_p145_yield.txt,PASS,16259,3,9
3,150,PASS,8,16266,2264,8810,s3_p150_yield.log,s3_p150_yield.txt,PASS,16266,3,8
3,155,PASS,8,16265,2291,8815,s3_p155_yield.log,s3_p155_yield.txt,PASS,16265,3,8
3,200,PASS,8,16285,2261,8821,s3_p200_yield.log,s3_p200_yield.txt,PASS,16285,3,8
3,233,PASS,8,16253,2268,8799,s3_p233_yield.log,s3_p233_yield.txt,PASS,16253,3,8
3,250,PASS,8,16260,2275,8797,s3_p250_yield.log,s3_p250_yield.txt,PASS,16260,3,8
3,373,FAIL_CYCLING,9,16273,3279,8827,s3_p373_yield.log,s3_p373_yield.txt,FAIL_CYCLING,16273,3,9
3,500,PASS,8,16270,2253,8811,s3_p500_yield.log,s3_p500_yield.txt,PASS,16270,3,8
5,125,PASS,8,16263,1469,8814,s5_p125_yield.log,s5_p125_yield.txt,PASS,16263,3,8
5,145,PASS,8,16259,2278,8791,s5_p145_yield.log,s5_p145_yield.txt,PASS,16259,3,8
5,150,PASS,8,16266,2272,8809,s5_p150_yield.log,s5_p150_yield.txt,PASS,16266,3,8
5,155,PASS,9,16883,3267,16258,s5_p155_yield.log,s5_p155_yield.txt,PASS,16883,3,9
5,200,PASS,9,16285,3272,9850,s5_p200_yield.log,s5_p200_yield.txt,PASS,16285,3,9
5,233,PASS,8,16255,2256,8793,s5_p233_yield.log,s5_p233_yield.txt,PASS,16255,3,8
5,250,PASS,8,16269,2265,8804,s5_p250_yield.log,s5_p250_yield.txt,PASS,16269,3,8
5,373,PASS,9,20176,3264,16292,s5_p373_yield.log,s5_p373_yield.txt,PASS,20176,3,9
5,500,PASS,9,19887,3263,16266,s5_p500_yield.log,s5_p500_yield.txt,PASS,19887,3,9
7,125,FAIL_CYCLING,17,8274,2261,8112,s7_p125_yield.log,s7_p125_yield.txt,FAIL_CYCLING,8274,3,17
7,145,PASS,8,16258,2261,8807,s7_p145_yield.log,s7_p145_yield.txt,PASS,16258,3,8
7,150,FAIL_CYCLING,14,8653,3462,7084,s7_p150_yield.log,s7_p150_yield.txt,FAIL_CYCLING,8190,3,14
7,155,FAIL_CYCLING,16,11863,1787,6992,s7_p155_yield.log,s7_p155_yield.txt,FAIL_CYCLING,2254,3,16
7,200,FAIL_CYCLING,14,10793,3324,8100,s7_p200_yield.log,s7_p200_yield.txt,FAIL_CYCLING,8794,3,14
