stall_ms,period_ms,verdict,tx_events,max_gap_ms,median_gap_ms,p90_gap_ms,capture,transcript,sniffer_tx,sniffer_rx,verdict_v2,monotone_prefix_max_ms,it_count,poll_count
1,125,PASS,8,16268,2254,8811,s1_p125_yield.log,packets.s1_p125_yield.Host.raw,packets.s1_p125_yield.TX.raw,packets.s1_p125_yield.RX.raw,PASS,16268,3,8
1,145,PASS,8,16270,2268,8804,s1_p145_yield.log,packets.s1_p145_yield.Host.raw,packets.s1_p145_yield.TX.raw,packets.s1_p145_yield.RX.raw,PASS,16270,3,8
1,150,PASS,8,16279,2290,8800,s1_p150_yield.log,packets.s1_p150_yield.Host.raw,packets.s1_p150_yield.TX.raw,packets.s1_p150_yield.RX.raw,PASS,16279,3,8
1,155,PASS,8,16264,2262,8802,s1_p155_yield.log,packets.s1_p155_yield.Host.raw,packets.s1_p155_yield.TX.raw,packets.s1_p155_yield.RX.raw,PASS,16264,3,8
1,200,PASS,8,16259,2258,8814,s1_p200_yield.log,packets.s1_p200_yield.Host.raw,packets.s1_p200_yield.TX.raw,packets.s1_p200_yield.RX.raw,PASS,16259,3,8
1,233,PASS,8,16269,2261,8813,s1_p233_yield.log,packets.s1_p233_yield.Host.raw,packets.s1_p233_yield.TX.raw,packets.s1_p233_yield.RX.raw,PASS,16269,3,8
1,250,PASS,8,16259,2273,8831,s1_p250_yield.log,packets.s1_p250_yield.Host.raw,packets.s1_p250_yield.TX.raw,packets.s1_p250_yield.RX.raw,PASS,16259,3,8
1,373,PASS,8,16262,2268,8804,s1_p373_yield.log,packets.s1_p373_yield.Host.raw,packets.s1_p373_yield.TX.raw,packets.s1_p373_yield.RX.raw,PASS,16262,3,8
1,500,PASS,8,16280,2270,8816,s1_p500_yield.log,packets.s1_p500_yield.Host.raw,packets.s1_p500_yield.TX.raw,packets.s1_p500_yield.RX.raw,PASS,16280,3,8
3,125,PASS,8,16258,2257,8813,s3_p125_yield.log,packets.s3_p125_yield.Host.raw,packets.s3_p125_yield.TX.raw,packets.s3_p125_yield.RX.raw,PASS,16258,3,8
3,145,PASS,8,16281,2276,8796,s3_p145_yield.log,packets.s3_p145_yield.Host.raw,packets.s3_p145_yield.TX.raw,packets.s3_p145_yield.RX.raw,PASS,16281,3,8
3,150,PASS,8,16288,2259,8810,s3_p150_yield.log,packets.s3_p150_yield.Host.raw,packets.s3_p150_yield.TX.raw,packets.s3_p150_yield.RX.raw,PASS,16288,3,8
3,155,PASS,8,16254,2262,8799,s3_p155_yield.log,packets.s3_p155_yield.Host.raw,packets.s3_p155_yield.TX.raw,packets.s3_p155_yield.RX.raw,PASS,16254,3,8
3,200,PASS,8,16264,2256,8804,s3_p200_yield.log,packets.s3_p200_yield.Host.raw,packets.s3_p200_yield.TX.raw,packets.s3_p200_yield.RX.raw,PASS,16264,3,8
3,233,PASS,8,16266,2256,8803,s3_p233_yield.log,packets.s3_p233_yield.Host.raw,packets.s3_p233_yield.TX.raw,packets.s3_p233_yield.RX.raw,PASS,16266,3,8
3,250,PASS,8,16256,2279,8799,s3_p250_yield.log,packets.s3_p250_yield.Host.raw,packets.s3_p250_yield.TX.raw,packets.s3_p250_yield.RX.raw,PASS,16256,3,8
3,373,PASS,8,16259,2267,8801,s3_p373_yield.log,packets.s3_p373_yield.Host.raw,packets.s3_p373_yield.TX.raw,packets.s3_p373_yield.RX.raw,PASS,16259,3,8
3,500,PASS,8,16269,2279,8804,s3_p500_yield.log,packets.s3_p500_yield.Host.raw,packets.s3_p500_yield.TX.raw,packets.s3_p500_yield.RX.raw,PASS,16269,3,8
5,125,PASS,8,16264,2259,8803,s5_p125_yield.log,packets.s5_p125_yield.Host.raw,packets.s5_p125_yield.TX.raw,packets.s5_p125_yield.RX.raw,PASS,16264,3,8
5,145,PASS,8,16260,2281,8811,s5_p145_yield.log,packets.s5_p145_yield.Host.raw,packets.s5_p145_yield.TX.raw,packets.s5_p145_yield.RX.raw,PASS,16260,3,8
5,150,PASS,8,16266,2255,8804,s5_p150_yield.log,packets.s5_p150_yield.Host.raw,packets.s5_p150_yield.TX.raw,packets.s5_p150_yield.RX.raw,PASS,16266,3,8
5,155,PASS,8,16262,2259,8805,s5_p155_yield.log,packets.s5_p155_yield.Host.raw,packets.s5_p155_yield.TX.raw,packets.s5_p155_yield.RX.raw,PASS,16262,3,8
5,200,PASS,8,16267,2288,8804,s5_p200_yield.log,packets.s5_p200_yield.Host.raw,packets.s5_p200_yield.TX.raw,packets.s5_p200_yield.RX.raw,PASS,16267,3,8
5,233,PASS,8,16269,2289,8832,s5_p233_yield.log,packets.s5_p233_yield.Host.raw,packets.s5_p233_yield.TX.raw,packets.s5_p233_yield.RX.raw,PASS,16269,3,8
5,250,PASS,8,16258,2255,8800,s5_p250_yield.log,packets.s5_p250_yield.Host.raw,packets.s5_p250_yield.TX.raw,packets.s5_p250_yield.RX.raw,PASS,16258,3,8
5,373,PASS,8,16261,2260,8813,s5_p373_yield.log,packets.s5_p373_yield.Host.raw,packets.s5_p373_yield.TX.raw,packets.s5_p373_yield.RX.raw,PASS,16261,3,8
5,500,PASS,8,16262,2256,8791,s5_p500_yield.log,packets.s5_p500_yield.Host.raw,packets.s5_p500_yield.TX.raw,packets.s5_p500_yield.RX.raw,PASS,16262,3,8
7,125,PASS,8,16268,2259,8810,s7_p125_yield.log,packets.s7_p125_yield.Host.raw,packets.s7_p125_yield.TX.raw,packets.s7_p125_yield.RX.raw,PASS,16268,3,8
7,145,PASS,8,16269,2268,8809,s7_p145_yield.log,packets.s7_p145_yield.Host.raw,packets.s7_p145_yield.TX.raw,packets.s7_p145_yield.RX.raw,PASS,16269,3,8
7,150,PASS,8,16280,2268,8836,s7_p150_yield.log,packets.s7_p150_yield.Host.raw,packets.s7_p150_yield.TX.raw,packets.s7_p150_yield.RX.raw,PASS,16280,3,8
7,155,PASS,8,16272,2280,8809,s7_p155_yield.log,packets.s7_p155_yield.Host.raw,packets.s7_p155_yield.TX.raw,packets.s7_p155_yield.RX.raw,PASS,16272,3,8
7,200,PASS,8,16262,2253,8803,s7_p200_yield.log,packets.s7_p200_yield.Host.raw,packets.s7_p200_yield.TX.raw,packets.s7_p200_yield.RX.raw,PASS,16262,3,8
7,233,PASS,8,16268,2261,8813,s7_p233_yield.log,packets.s7_p233_yield.Host.raw,packets.s7_p233_yield.TX.raw,packets.s7_p233_yield.RX.raw,PASS,16268,3,8
7,250,PASS,8,16274,2255,8812,s7_p250_yield.log,packets.s7_p250_yield.Host.raw,packets.s7_p250_yield.TX.raw,packets.s7_p250_yield.RX.raw,PASS,16274,3,8
7,373,PASS,8,16264,2264,8818,s7_p373_yield.log,packets.s7_p373_yield.Host.raw,packets.s7_p373_yield.TX.raw,packets.s7_p373_yield.RX.raw,PASS,16264,3,8
7,500,PASS,8,16269,2285,8812,s7_p500_yield.log,packets.s7_p500_yield.Host.raw,packets.s7_p500_yield.TX.raw,packets.s7_p500_yield.RX.raw,PASS,16269,3,8
8,125,PASS,8,16267,2266,8790,s8_p125_yield.log,packets.s8_p125_yield.Host.raw,packets.s8_p125_yield.TX.raw,packets.s8_p125_yield.RX.raw,PASS,16267,3,8
8,145,PASS,8,16255,2261,8809,s8_p145_yield.log,packets.s8_p145_yield.Host.raw,packets.s8_p145_yield.TX.raw,packets.s8_p145_yield.RX.raw,PASS,16255,3,8
8,150,PASS,8,16262,2273,8802,s8_p150_yield.log,packets.s8_p150_yield.Host.raw,packets.s8_p150_yield.TX.raw,packets.s8_p150_yield.RX.raw,PASS,16262,3,8
8,155,PASS,8,16271,2265,8814,s8_p155_yield.log,packets.s8_p155_yield.Host.raw,packets.s8_p155_yield.TX.raw,packets.s8_p155_yield.RX.raw,PASS,16271,3,8
8,200,PASS,8,16307,2266,8821,s8_p200_yield.log,packets.s8_p200_yield.Host.raw,packets.s8_p200_yield.TX.raw,packets.s8_p200_yield.RX.raw,PASS,16307,3,8
8,233,PASS,8,16271,2257,8798,s8_p233_yield.log,packets.s8_p233_yield.Host.raw,packets.s8_p233_yield.TX.raw,packets.s8_p233_yield.RX.raw,PASS,16271,3,8
8,250,PASS,8,16261,2271,8809,s8_p250_yield.log,packets.s8_p250_yield.Host.raw,packets.s8_p250_yield.TX.raw,packets.s8_p250_yield.RX.raw,PASS,16261,3,8
8,373,PASS,8,16271,2264,8804,s8_p373_yield.log,packets.s8_p373_yield.Host.raw,packets.s8_p373_yield.TX.raw,packets.s8_p373_yield.RX.raw,PASS,16271,3,8
8,500,PASS,8,16263,2263,8797,s8_p500_yield.log,packets.s8_p500_yield.Host.raw,packets.s8_p500_yield.TX.raw,packets.s8_p500_yield.RX.raw,PASS,16263,3,8
9,125,PASS,8,16256,2288,8817,s9_p125_yield.log,packets.s9_p125_yield.Host.raw,packets.s9_p125_yield.TX.raw,packets.s9_p125_yield.RX.raw,PASS,16256,3,8
