PKT t=7287 TX ua=96 mt=I len=13
PKT t=7795 TX ua=96 mt=T len=4
PKT t=7806 TX ua=95 mt=P len=0
PKT t=7815 RX ua=95 mt=R len=7
PKT t=7820 TX ua=95 mt=T len=7
PKT t=7832 TX ua=95 mt=P len=0
PKT t=7862 RX ua=95 mt=R len=7
PKT t=7867 TX ua=95 mt=P len=0
PKT t=7876 RX ua=95 mt=R len=7
PKT t=7901 TX ua=95 mt=P len=0
PKT t=7910 RX ua=95 mt=R len=7
PKT t=7915 TX ua=95 mt=P len=0
PKT t=7924 RX ua=95 mt=R len=7
PKT t=7929 TX ua=95 mt=P len=0
PKT t=7962 RX ua=95 mt=R len=7
PKT t=7967 TX ua=95 mt=T len=7
PKT t=7979 TX ua=95 mt=P len=0
PKT t=7988 RX ua=95 mt=R len=7
PKT t=7993 TX ua=95 mt=P len=0
PKT t=8002 RX ua=95 mt=R len=7
PKT t=8007 TX ua=95 mt=P len=0
PKT t=8016 RX ua=95 mt=R len=7
PKT t=8022 TX ua=95 mt=P len=0
PKT t=8047 RX ua=95 mt=R len=7
PKT t=8302 TX ua=96 mt=P len=0
PKT t=8560 TX ua=95 mt=P len=0
PKT t=8569 RX ua=95 mt=R len=7
PKT t=8574 TX ua=95 mt=T len=7
PKT t=8586 TX ua=95 mt=P len=0
PKT t=8595 RX ua=95 mt=R len=7
PKT t=8600 TX ua=95 mt=P len=0
PKT t=8626 RX ua=95 mt=R len=7
PKT t=8881 TX ua=96 mt=P len=0
PKT t=9139 TX ua=95 mt=P len=0
PKT t=9148 RX ua=95 mt=R len=7
PKT t=9153 TX ua=95 mt=T len=7
PKT t=9165 TX ua=95 mt=P len=0
PKT t=9174 RX ua=95 mt=R len=7
PKT t=9179 TX ua=95 mt=P len=0
PKT t=9206 RX ua=95 mt=R len=7
PKT t=9211 TX ua=95 mt=T len=7
PKT t=9223 TX ua=95 mt=P len=0
PKT t=9232 RX ua=95 mt=R len=7
PKT t=9237 TX ua=95 mt=T len=7
PKT t=9249 TX ua=95 mt=P len=0
PKT t=9268 RX ua=95 mt=R len=7
PKT t=9273 TX ua=95 mt=P len=0
PKT t=9282 RX ua=95 mt=R len=7
PKT t=9287 TX ua=95 mt=P len=0
PKT t=9297 RX ua=95 mt=R len=7
PKT t=9302 TX ua=95 mt=P len=0
PKT t=9311 RX ua=95 mt=R len=7
PKT t=9316 TX ua=95 mt=P len=0
PKT t=9325 RX ua=95 mt=R len=7
PKT t=9351 TX ua=95 mt=P len=0
PKT t=9366 RX ua=95 mt=R len=7
PKT t=9371 TX ua=95 mt=P len=0
PKT t=9380 RX ua=95 mt=R len=7
PKT t=9385 TX ua=95 mt=P len=0
PKT t=9394 RX ua=95 mt=R len=7
PKT t=9399 TX ua=95 mt=P len=0
PKT t=9408 RX ua=95 mt=R len=7
PKT t=9413 TX ua=95 mt=P len=0
PKT t=9422 RX ua=95 mt=R len=7
PKT t=9427 TX ua=95 mt=P len=0
PKT t=9436 RX ua=95 mt=R len=7
PKT t=9441 TX ua=95 mt=P len=0
PKT t=9470 RX ua=95 mt=R len=7
PKT t=9496 TX ua=95 mt=P len=0
PKT t=9505 RX ua=95 mt=R len=7
PKT t=9510 TX ua=95 mt=T len=7
PKT t=9522 TX ua=95 mt=P len=0
PKT t=9532 RX ua=95 mt=R len=7
PKT t=9537 TX ua=95 mt=P len=0
PKT t=9571 RX ua=95 mt=R len=7
PKT t=9576 TX ua=95 mt=P len=0
PKT t=9586 RX ua=95 mt=R len=7
PKT t=9591 TX ua=95 mt=P len=0
PKT t=9601 RX ua=95 mt=R len=7
PKT t=9606 TX ua=95 mt=P len=0
PKT t=9616 RX ua=95 mt=R len=7
PKT t=9641 TX ua=95 mt=P len=0
PKT t=9670 RX ua=95 mt=R len=7
PKT t=9675 TX ua=95 mt=P len=0
PKT t=9685 RX ua=95 mt=R len=7
PKT t=9690 TX ua=95 mt=P len=0
PKT t=9700 RX ua=95 mt=R len=7
PKT t=9705 TX ua=95 mt=P len=0
PKT t=9715 RX ua=95 mt=R len=7
PKT t=9720 TX ua=95 mt=P len=0
PKT t=9730 RX ua=95 mt=R len=7
PKT t=9735 TX ua=95 mt=P len=0
PKT t=9745 RX ua=95 mt=R len=7
PKT t=9750 TX ua=95 mt=T len=7
PKT t=9762 TX ua=95 mt=P len=0
PKT t=9787 RX ua=95 mt=R len=7
PKT t=10042 TX ua=96 mt=P len=0
PKT t=10300 TX ua=95 mt=P len=0
PKT t=10309 RX ua=95 mt=R len=7
PKT t=10314 TX ua=95 mt=T len=7
PKT t=10327 TX ua=95 mt=P len=0
PKT t=10336 RX ua=95 mt=R len=7
PKT t=10341 TX ua=95 mt=T len=7
PKT t=10373 TX ua=95 mt=P len=0
PKT t=10382 RX ua=95 mt=R len=7
PKT t=10387 TX ua=95 mt=P len=0
PKT t=10396 RX ua=95 mt=R len=7
PKT t=10401 TX ua=95 mt=P len=0
PKT t=10410 RX ua=95 mt=R len=7
PKT t=10415 TX ua=95 mt=P len=0
PKT t=10424 RX ua=95 mt=R len=7
PKT t=10429 TX ua=95 mt=P len=0
PKT t=10438 RX ua=95 mt=R len=7
PKT t=10443 TX ua=95 mt=P len=0
PKT t=10452 RX ua=95 mt=R len=7
PKT t=10457 TX ua=95 mt=P len=0
PKT t=10486 RX ua=95 mt=R len=7
PKT t=10511 TX ua=95 mt=P len=0
PKT t=10520 RX ua=95 mt=R len=7
PKT t=10525 TX ua=95 mt=T len=7
PKT t=10538 TX ua=95 mt=P len=0
PKT t=10547 RX ua=95 mt=R len=7
PKT t=10552 TX ua=95 mt=P len=0
PKT t=10561 RX ua=95 mt=R len=7
PKT t=10566 TX ua=95 mt=P len=0
PKT t=10595 RX ua=95 mt=R len=7
PKT t=10600 TX ua=95 mt=P len=0
PKT t=10609 RX ua=95 mt=R len=7
PKT t=10614 TX ua=95 mt=P len=0
PKT t=10623 RX ua=95 mt=R len=7
PKT t=10628 TX ua=95 mt=P len=0
PKT t=10656 RX ua=95 mt=R len=7
PKT t=10661 TX ua=95 mt=P len=0
PKT t=10695 RX ua=95 mt=R len=7
PKT t=10700 TX ua=95 mt=P len=0
PKT t=10709 RX ua=95 mt=R len=7
PKT t=10714 TX ua=95 mt=P len=0
PKT t=10723 RX ua=95 mt=R len=7
PKT t=10728 TX ua=95 mt=P len=0
PKT t=10737 RX ua=95 mt=R len=7
PKT t=10742 TX ua=95 mt=P len=0
PKT t=10751 RX ua=95 mt=R len=7
PKT t=10756 TX ua=95 mt=P len=0
PKT t=10765 RX ua=95 mt=R len=7
PKT t=10770 TX ua=95 mt=T len=7
PKT t=10806 TX ua=95 mt=P len=0
PKT t=10815 RX ua=95 mt=R len=7
PKT t=10820 TX ua=95 mt=P len=0
PKT t=10829 RX ua=95 mt=R len=7
PKT t=10834 TX ua=95 mt=P len=0
PKT t=10843 RX ua=95 mt=R len=7
PKT t=10848 TX ua=95 mt=P len=0
PKT t=10857 RX ua=95 mt=R len=7
PKT t=10862 TX ua=95 mt=P len=0
PKT t=10871 RX ua=95 mt=R len=7
PKT t=10876 TX ua=95 mt=P len=0
PKT t=10905 RX ua=95 mt=R len=7
PKT t=10910 TX ua=95 mt=P len=0
PKT t=10919 RX ua=95 mt=R len=7
PKT t=10946 TX ua=95 mt=P len=0
PKT t=10955 RX ua=95 mt=R len=7
PKT t=10960 TX ua=95 mt=P len=0
PKT t=10969 RX ua=95 mt=R len=7
PKT t=10974 TX ua=95 mt=P len=0
PKT t=11005 RX ua=95 mt=R len=7
PKT t=11010 TX ua=95 mt=P len=0
PKT t=11019 RX ua=95 mt=R len=7
PKT t=11024 TX ua=95 mt=T len=7
PKT t=11037 TX ua=95 mt=P len=0
PKT t=11046 RX ua=95 mt=R len=7
PKT t=11051 TX ua=95 mt=P len=0
PKT t=11060 RX ua=95 mt=R len=7
PKT t=11065 TX ua=95 mt=P len=0
PKT t=11091 RX ua=95 mt=R len=7
PKT t=11346 TX ua=96 mt=P len=0
PKT t=11604 TX ua=95 mt=P len=0
PKT t=11613 RX ua=95 mt=R len=7
PKT t=11618 TX ua=95 mt=T len=7
PKT t=11630 TX ua=95 mt=P len=0
PKT t=11640 RX ua=95 mt=R len=7
PKT t=11645 TX ua=95 mt=P len=0
PKT t=11671 RX ua=95 mt=R len=7
PKT t=11926 TX ua=96 mt=P len=0
PKT t=12184 TX ua=95 mt=P len=0
PKT t=12194 RX ua=95 mt=R len=7
PKT t=12199 TX ua=95 mt=T len=7
PKT t=12211 TX ua=95 mt=P len=0
PKT t=12220 RX ua=95 mt=R len=7
PKT t=12225 TX ua=95 mt=P len=0
PKT t=12251 RX ua=95 mt=R len=7
PKT t=12506 TX ua=96 mt=P len=0
PKT t=12764 TX ua=95 mt=P len=0
PKT t=12773 RX ua=95 mt=R len=7
PKT t=12778 TX ua=95 mt=T len=7
PKT t=12790 TX ua=95 mt=P len=0
PKT t=12831 RX ua=95 mt=R len=7
PKT t=12836 TX ua=95 mt=T len=7
PKT t=12848 TX ua=95 mt=P len=0
PKT t=12857 RX ua=95 mt=R len=7
PKT t=12862 TX ua=95 mt=P len=0
