stall_ms,period_ms,verdict,tx_events,max_gap_ms,median_gap_ms,p90_gap_ms,capture,transcript,verdict_v2,monotone_prefix_max_ms,it_count,poll_count
1,50,PASS,5,16273,4384,8260,s1_p50.log,s1_p50.txt,PASS,16273,2,3
1,100,PASS,5,16253,4385,8262,s1_p100.log,s1_p100.txt,PASS,16253,2,3
1,140,PASS,5,16258,4382,8255,s1_p140.log,s1_p140.txt,PASS,16258,2,3
1,145,PASS,5,16260,4386,8263,s1_p145.log,s1_p145.txt,PASS,16260,2,3
1,150,PASS,5,16256,4390,8273,s1_p150.log,s1_p150.txt,PASS,16256,2,3
1,155,PASS,5,16273,4381,8254,s1_p155.log,s1_p155.txt,PASS,16273,2,3
1,160,PASS,5,16255,4394,8279,s1_p160.log,s1_p160.txt,PASS,16255,2,3
1,200,PASS,5,16255,4396,8285,s1_p200.log,s1_p200.txt,PASS,16255,2,3
1,250,PASS,5,16259,4382,8256,s1_p250.log,s1_p250.txt,PASS,16259,2,3
1,300,PASS,5,16266,4389,8270,s1_p300.log,s1_p300.txt,PASS,16266,2,3
1,500,PASS,5,16255,4386,8263,s1_p500.log,s1_p500.txt,PASS,16255,2,3
1,1000,PASS,5,16258,4394,8280,s1_p1000.log,s1_p1000.txt,PASS,16258,2,3
2,50,PASS,5,16277,4386,8264,s2_p50.log,s2_p50.txt,PASS,16277,2,3
2,100,PASS,5,16256,4380,8253,s2_p100.log,s2_p100.txt,PASS,16256,2,3
2,140,PASS,5,16258,4386,8264,s2_p140.log,s2_p140.txt,PASS,16258,2,3
2,145,PASS,5,16267,4386,8264,s2_p145.log,s2_p145.txt,PASS,16267,2,3
2,150,PASS,5,16259,4384,8261,s2_p150.log,s2_p150.txt,PASS,16259,2,3
2,155,PASS,5,16271,4386,8265,s2_p155.log,s2_p155.txt,PASS,16271,2,3
2,160,PASS,5,16285,4396,8283,s2_p160.log,s2_p160.txt,PASS,16285,2,3
2,200,PASS,5,16253,4394,8281,s2_p200.log,s2_p200.txt,PASS,16253,2,3
